Rank,Movie_name,Year,Certificate,Runtime_in_min,Genre,Rating_from_10
36,It's a Wonderful Life,1946,PG,130,"Drama, Family, Fantasy",8.6
37,Kaithi,2019,Not Rated,145,"Action, Adventure, Crime",8.5
38,96,II 2018,Not Rated,158,"Drama, Romance",8.5
39,Parasite,2019,R,132,"Drama, Thriller",8.5
40,Whiplash,2014,R,106,"Drama, Music",8.5
41,The Intouchables,2011,R,112,"Biography, Comedy, Drama",8.5
42,The Prestige,2006,PG-13,130,"Drama, Mystery, Sci-Fi",8.5
43,The Departed,2006,R,151,"Crime, Drama, Thriller",8.5
44,The Pianist,2002,R,150,"Biography, Drama, Music",8.5
45,Gladiator,2000,R,155,"Action, Adventure, Drama",8.5
46,American History X,1998,R,119,"Crime, Drama",8.5
47,The Usual Suspects,1995,R,106,"Crime, Drama, Mystery",8.5
48,Léon: The Professional,1994,R,110,"Action, Crime, Drama",8.5
49,The Lion King,1994,G,88,"Animation, Adventure, Drama",8.5
50,Cinema Paradiso,1988,R,155,"Drama, Romance",8.5
51,Grave of the Fireflies,1988,Not Rated,89,"Animation, Drama, War",8.5
52,Back to the Future,1985,PG,116,"Adventure, Comedy, Sci-Fi",8.5
53,Apocalypse Now,1979,R,147,"Drama, Mystery, War",8.5
54,Alien,1979,R,117,"Horror, Sci-Fi",8.5
55,Once Upon a Time in the West,1968,PG-13,165,Western,8.5
56,Psycho,1960,R,109,"Horror, Mystery, Thriller",8.5
57,Rear Window,1954,PG,112,"Mystery, Thriller",8.5
58,Casablanca,1942,PG,102,"Drama, Romance, War",8.5
59,Modern Times,1936,G,87,"Comedy, Drama, Romance",8.5
60,City Lights,1931,G,87,"Comedy, Drama, Romance",8.5
61,Asuran,2019,Not Rated,141,"Action, Drama",8.4
62,Vikram,2022,UA,175,"Action, Crime, Thriller",8.4
63,Hamilton,2020,PG-13,160,"Biography, Drama, History",8.4
64,Capernaum,2018,R,126,Drama,8.4
65,Joker,I 2019,R,122,"Crime, Drama, Thriller",8.4
66,Your Name.,2016,PG,106,"Animation, Drama, Fantasy",8.4
67,Spider-Man: Into the Spider-Verse,2018,PG,117,"Animation, Action, Adventure",8.4
68,Avengers: Endgame,2019,PG-13,181,"Action, Adventure, Drama",8.4
69,Avengers: Infinity War,2018,PG-13,149,"Action, Adventure, Sci-Fi",8.4
70,Coco,I 2017,PG,105,"Animation, Adventure, Comedy",8.4
71,Django Unchained,2012,R,165,"Drama, Western",8.4
72,Top Gun: Maverick,2022,PG-13,130,"Action, Drama",8.4
73,Kantara,2022,UA,148,"Action, Adventure, Drama",8.4
74,The Dark Knight Rises,2012,PG-13,164,"Action, Drama",8.4
75,Drishyam 2,2021,13,152,"Crime, Drama, Thriller",8.4
76,3 Idiots,2009,PG-13,170,"Comedy, Drama",8.4
77,Shershaah,2021,TV-14,135,"Action, Biography, Drama",8.4
78,Sardar Udham,2021,TV-MA,164,"Biography, Crime, Drama",8.4
79,Like Stars on Earth,2007,PG,165,"Drama, Family",8.4
80,WALL·E,2008,G,98,"Animation, Adventure, Family",8.4
81,The Lives of Others,2006,R,137,"Drama, Mystery, Thriller",8.4
82,Oldboy,2003,R,101,"Action, Drama, Mystery",8.4
83,Memento,2000,R,113,"Mystery, Thriller",8.4
84,American Beauty,1999,R,122,Drama,8.4
85,Princess Mononoke,1997,PG-13,134,"Animation, Action, Adventure",8.4
86,Braveheart,1995,R,178,"Biography, Drama, History",8.4
87,Come and See,1985,Not Rated,142,"Drama, Thriller, War",8.4
88,Aliens,1986,R,137,"Action, Adventure, Sci-Fi",8.4
89,Amadeus,1984,R,160,"Biography, Drama, Music",8.4
90,Indiana Jones and the Raiders of the Lost Ark,1981,PG,115,"Action, Adventure",8.4
91,The Boat,1981,R,149,"Drama, War",8.4
92,The Shining,1980,R,146,"Drama, Horror",8.4
93,High and Low,1963,Not Rated,143,"Crime, Drama, Mystery",8.4
94,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,PG,95,"Comedy, War",8.4
95,Witness for the Prosecution,1957,Approved,116,"Crime, Drama, Mystery",8.4
96,Paths of Glory,1957,Approved,88,"Drama, War",8.4
97,Sunset Blvd.,1950,Passed,110,"Drama, Film-Noir",8.4
98,The Great Dictator,1940,G,125,"Comedy, Drama, War",8.4
99,Chhichhore,2019,Not Rated,143,"Comedy, Drama, Romance",8.3
100,Raatchasan,2018,Not Rated,170,"Crime, Drama, Mystery",8.3
101,Ayla: The Daughter of War,2017,,125,"Biography, Drama, History",8.3
102,Vikram Vedha,2017,Not Rated,147,"Action, Crime, Drama",8.3
103,Dangal,2016,Not Rated,161,"Action, Biography, Drama",8.3
104,Drishyam,2013,Not Rated,160,"Crime, Drama, Thriller",8.3
105,The Hunt,2012,R,115,Drama,8.3
106,A Separation,2011,PG-13,123,Drama,8.3
107,Incendies,2010,R,131,"Drama, Mystery",8.3
108,K.G.F: Chapter 2,2022,Not Rated,168,"Action, Crime, Drama",8.3
109,Up,2009,PG,96,"Animation, Adventure, Comedy",8.3
110,Toy Story 3,2010,G,103,"Animation, Adventure, Comedy",8.3
111,Inglourious Basterds,2009,R,153,"Adventure, Drama, War",8.3
112,Eternal Sunshine of the Spotless Mind,2004,R,108,"Drama, Romance, Sci-Fi",8.3
113,Amélie,2001,R,122,"Comedy, Romance",8.3
114,Requiem for a Dream,2000,R,102,Drama,8.3
115,Good Will Hunting,1997,R,126,"Drama, Romance",8.3
116,Toy Story,1995,G,81,"Animation, Adventure, Comedy",8.3
117,Heat,1995,R,170,"Action, Crime, Drama",8.3
118,Reservoir Dogs,1992,R,99,"Crime, Thriller",8.3
119,Full Metal Jacket,1987,R,116,"Drama, War",8.3
120,Once Upon a Time in America,1984,R,229,"Crime, Drama",8.3
121,Scarface,1983,R,170,"Crime, Drama",8.3
122,Star Wars: Episode VI - Return of the Jedi,1983,PG,131,"Action, Adventure, Fantasy",8.3
123,The Sting,1973,PG,129,"Comedy, Crime, Drama",8.3
124,A Clockwork Orange,1971,R,136,"Crime, Sci-Fi",8.3
125,2001: A Space Odyssey,1968,G,149,"Adventure, Sci-Fi",8.3
126,To Kill a Mockingbird,1962,Approved,129,"Crime, Drama",8.3
127,Lawrence of Arabia,1962,Approved,218,"Adventure, Biography, Drama",8.3
128,Judgment at Nuremberg,1961,Approved,179,"Drama, War",8.3
129,The Apartment,1960,Approved,125,"Comedy, Drama, Romance",8.3
130,North by Northwest,1959,Approved,136,"Action, Adventure, Mystery",8.3
131,Vertigo,1958,PG,128,"Mystery, Romance, Thriller",8.3
132,Pather Panchali,1955,Not Rated,125,Drama,8.3
133,Singin' in the Rain,1952,G,103,"Comedy, Musical, Romance",8.3
134,Ikiru,1952,Not Rated,143,Drama,8.3
135,Bicycle Thieves,1948,Not Rated,89,Drama,8.3
136,Double Indemnity,1944,Passed,107,"Crime, Drama, Film-Noir",8.3
137,Citizen Kane,1941,PG,119,"Drama, Mystery",8.3
138,M,1931,Passed,99,"Crime, Mystery, Thriller",8.3
139,Metropolis,1927,Not Rated,153,"Drama, Sci-Fi",8.3
140,The Kid,1921,Passed,68,"Comedy, Drama, Family",8.3
141,1917,2019,R,119,"Action, Drama, War",8.2
142,Uri: The Surgical Strike,2019,Not Rated,138,"Action, Drama, History",8.2
143,Tumbbad,2018,Not Rated,104,"Drama, Fantasy, Horror",8.2
144,Andhadhun,2018,Not Rated,139,"Comedy, Crime, Music",8.2
145,K.G.F: Chapter 1,2018,Not Rated,156,"Action, Crime, Drama",8.2
146,Green Book,2018,PG-13,130,"Biography, Comedy, Drama",8.2
147,Baahubali 2: The Conclusion,2017,Not Rated,167,"Action, Drama",8.2
148,Drishyam,2015,Not Rated,163,"Crime, Drama, Mystery",8.2
149,Bhaag Milkha Bhaag,2013,Not Rated,186,"Biography, Drama, Sport",8.2
150,Inside Out,I 2015,PG,95,"Animation, Adventure, Comedy",8.2
151,Gangs of Wasseypur,2012,Not Rated,321,"Action, Comedy, Crime",8.2
152,Paan Singh Tomar,2012,Not Rated,135,"Action, Biography, Crime",8.2
153,Zindagi Na Milegi Dobara,2011,Not Rated,155,"Comedy, Drama, Musical",8.2
154,The Secret in Their Eyes,2009,R,129,"Drama, Mystery, Romance",8.2
155,Warrior,2011,PG-13,140,"Action, Drama, Sport",8.2
156,Shutter Island,2010,R,138,"Mystery, Thriller",8.2
157,Demon Slayer the Movie: Mugen Train,2020,R,117,"Animation, Action, Adventure",8.2
158,Spider-Man: No Way Home,2021,PG-13,148,"Action, Adventure, Fantasy",8.2
159,Miracle in Cell No. 7,2019,TV-14,132,Drama,8.2
160,The Father,I 2020,PG-13,97,"Drama, Mystery",8.2
161,The Wolf of Wall Street,2013,R,180,"Biography, Comedy, Crime",8.2
162,No Country for Old Men,2007,R,122,"Crime, Drama, Thriller",8.2
163,My Father and My Son,2005,Not Rated,112,"Drama, Family",8.2
164,There Will Be Blood,2007,R,158,Drama,8.2
165,Pan's Labyrinth,2006,R,118,"Drama, Fantasy, War",8.2
166,V for Vendetta,2005,R,132,"Action, Drama, Sci-Fi",8.2
167,Batman Begins,2005,PG-13,140,"Action, Crime, Drama",8.2
168,Swades,2004,Not Rated,189,"Drama, Musical",8.2
169,Downfall,2004,R,156,"Biography, Drama, History",8.2
170,Howl's Moving Castle,2004,PG,119,"Animation, Adventure, Family",8.2
171,A Beautiful Mind,2001,PG-13,135,"Biography, Drama",8.2
172,Kill Bill: Vol. 1,2003,R,111,"Action, Crime, Drama",8.2
173,Finding Nemo,2003,G,100,"Animation, Adventure, Comedy",8.2
174,Snatch,2000,R,102,"Comedy, Crime",8.2
175,The Sixth Sense,1999,PG-13,107,"Drama, Mystery, Thriller",8.2
176,"Lock, Stock and Two Smoking Barrels",1998,R,107,"Action, Comedy, Crime",8.2
177,The Truman Show,1998,PG,103,"Comedy, Drama",8.2
178,L.A. Confidential,1997,R,138,"Crime, Drama, Mystery",8.2
179,Children of Heaven,1997,PG,89,"Drama, Family, Sport",8.2
180,Casino,1995,R,178,"Crime, Drama",8.2
181,Jurassic Park,1993,PG-13,127,"Action, Adventure, Sci-Fi",8.2
182,Unforgiven,1992,R,130,"Drama, Western",8.2
183,Indiana Jones and the Last Crusade,1989,PG-13,127,"Action, Adventure",8.2
184,Die Hard,1988,R,132,"Action, Thriller",8.2
185,Ran,1985,R,162,"Action, Drama, War",8.2
186,The Thing,1982,R,109,"Horror, Mystery, Sci-Fi",8.2
187,Raging Bull,1980,R,129,"Biography, Drama, Sport",8.2
188,The Elephant Man,1980,PG,124,"Biography, Drama",8.2
189,Taxi Driver,1976,R,114,"Crime, Drama",8.2
190,Monty Python and the Holy Grail,1975,PG,91,"Adventure, Comedy, Fantasy",8.2
191,Dersu Uzala,1975,G,142,"Adventure, Biography, Drama",8.2
192,Chinatown,1974,R,130,"Drama, Mystery, Thriller",8.2
193,Z,1969,M/PG,127,"Crime, Drama, Thriller",8.2
194,For a Few Dollars More,1965,R,132,Western,8.2
195,The Great Escape,1963,Approved,172,"Adventure, Drama, History",8.2
196,Yojimbo,1961,Not Rated,110,"Action, Drama, Thriller",8.2
197,Some Like It Hot,1959,Passed,121,"Comedy, Music, Romance",8.2
198,The Bridge on the River Kwai,1957,PG,161,"Adventure, Drama, War",8.2
199,Dial M for Murder,1954,PG,105,"Crime, Thriller",8.2
200,Tokyo Story,1953,Not Rated,136,Drama,8.2
201,The Wages of Fear,1953,Not Rated,131,"Adventure, Drama, Thriller",8.2
202,Umberto D.,1952,Not Rated,89,Drama,8.2
203,Rashomon,1950,Not Rated,88,"Crime, Drama, Mystery",8.2
204,All About Eve,1950,Passed,138,Drama,8.2
205,The Treasure of the Sierra Madre,1948,Passed,126,"Adventure, Drama, Western",8.2
206,To Be or Not to Be,1942,Passed,99,"Comedy, Romance, War",8.2
207,Gone with the Wind,1939,Passed,238,"Drama, Romance, War",8.2
208,The Passion of Joan of Arc,1928,Passed,114,"Biography, Drama, History",8.2
209,The General,1926,Passed,67,"Action, Adventure, Comedy",8.2
210,The Gold Rush,1925,Passed,95,"Adventure, Comedy, Drama",8.2
211,Sherlock Jr.,1924,Passed,45,"Action, Comedy, Romance",8.2
212,Portrait of a Lady on Fire,2019,R,122,"Drama, Romance",8.1
213,Everything Everywhere All at Once,2022,R,139,"Action, Adventure, Comedy",8.1
214,Pink,III 2016,Not Rated,136,"Crime, Drama, Thriller",8.1
215,A Silent Voice: The Movie,2016,Not Rated,130,"Animation, Drama",8.1
216,"Three Billboards Outside Ebbing, Missouri",2017,R,115,"Comedy, Crime, Drama",8.1
217,Talvar,2015,Not Rated,132,"Crime, Drama, Mystery",8.1
218,Klaus,2019,PG,96,"Animation, Adventure, Comedy",8.1
219,Masaan,2015,A,109,Drama,8.1
220,The Handmaiden,2016,Not Rated,145,"Drama, Romance, Thriller",8.1
221,Bajrangi Bhaijaan,2015,Not Rated,163,"Action, Adventure, Comedy",8.1
222,Queen,2013,Not Rated,146,"Adventure, Comedy, Drama",8.1
223,Logan,2017,R,137,"Action, Drama, Sci-Fi",8.1
224,Room,I 2015,R,118,"Drama, Thriller",8.1
225,Wild Tales,2014,R,122,"Comedy, Drama, Thriller",8.1
226,Tangerines,2013,Not Rated,87,"Drama, War",8.1
227,Winter Sleep,2014,Not Rated,196,Drama,8.1
228,PK,2014,Not Rated,153,"Comedy, Drama, Sci-Fi",8.1
229,OMG: Oh My God!,2012,Not Rated,125,"Comedy, Drama, Fantasy",8.1
230,The Grand Budapest Hotel,2014,R,99,"Adventure, Comedy, Crime",8.1
231,Gone Girl,2014,R,149,"Drama, Mystery, Thriller",8.1
232,Wolf Children,2012,PG,117,"Animation, Drama, Family",8.1
233,Hacksaw Ridge,2016,R,139,"Biography, Drama, History",8.1
234,Barfi!,2012,Not Rated,151,"Comedy, Drama, Romance",8.1
235,12 Years a Slave,2013,R,134,"Biography, Drama, History",8.1
236,Rush,I 2013,R,123,"Action, Biography, Drama",8.1
237,Ford v Ferrari,2019,PG-13,152,"Action, Biography, Drama",8.1
238,Spotlight,I 2015,R,129,"Biography, Crime, Drama",8.1
239,Kahaani,2012,Not Rated,122,"Mystery, Thriller",8.1
240,Udaan,2010,Not Rated,134,Drama,8.1
241,The Help,2011,PG-13,146,Drama,8.1
242,Prisoners,2013,R,153,"Crime, Drama, Mystery",8.1
243,Mad Max: Fury Road,2015,R,120,"Action, Adventure, Sci-Fi",8.1
244,A Wednesday,2008,Not Rated,104,"Action, Crime, Drama",8.1
245,Gran Torino,2008,R,116,Drama,8.1
246,Harry Potter and the Deathly Hallows: Part 2,2011,PG-13,130,"Adventure, Family, Fantasy",8.1
247,Article 15,2019,Not Rated,130,"Crime, Drama, Mystery",8.1
248,Hachi: A Dog's Tale,2009,G,93,"Biography, Drama, Family",8.1
249,Mary and Max,2009,Not Rated,92,"Animation, Comedy, Drama",8.1
250,How to Train Your Dragon,2010,PG,98,"Animation, Action, Adventure",8.1
251,Let's Go! India,2007,Not Rated,153,"Drama, Family, Sport",8.1
252,Into the Wild,2007,R,148,"Adventure, Biography, Drama",8.1
253,Rang De Basanti,2006,Not Rated,167,"Comedy, Crime, Drama",8.1
254,Million Dollar Baby,2004,PG-13,132,"Drama, Sport",8.1
255,Hotel Rwanda,2004,PG-13,121,"Biography, Drama, History",8.1
256,Ratatouille,2007,G,111,"Animation, Adventure, Comedy",8.1
257,Before Sunset,2004,R,80,"Drama, Romance",8.1
258,Black,2005,Not Rated,122,Drama,8.1
259,Munna Bhai M.B.B.S.,2003,Not Rated,156,"Comedy, Drama",8.1
260,Memories of Murder,2003,Not Rated,132,"Crime, Drama, Mystery",8.1
261,Pirates of the Caribbean: The Curse of the Black Pearl,2003,PG-13,143,"Action, Adventure, Fantasy",8.1
262,Dil Chahta Hai,2001,Not Rated,183,"Comedy, Drama, Romance",8.1
263,Catch Me If You Can,2002,PG-13,141,"Biography, Crime, Drama",8.1
264,Everything's Gonna Be Great,1998,,107,"Comedy, Drama, Thriller",8.1
265,Amores Perros,2000,R,154,"Drama, Thriller",8.1
266,Hera Pheri,2000,Not Rated,156,"Action, Comedy, Crime",8.1
267,Sarfarosh,1999,Not Rated,174,"Action, Drama, Thriller",8.1
268,"Monsters, Inc.",2001,G,92,"Animation, Adventure, Comedy",8.1
269,Lagaan: Once Upon a Time in India,2001,PG,224,"Drama, Musical, Sport",8.1
270,The Celebration,1998,R,105,Drama,8.1
271,The Iron Giant,1999,PG,86,"Animation, Action, Adventure",8.1
272,The Big Lebowski,1998,R,117,"Comedy, Crime",8.1
273,In the Mood for Love,2000,PG,98,"Drama, Romance",8.1
274,Trainspotting,1996,R,93,Drama,8.1
275,Fargo,1996,R,98,"Crime, Thriller",8.1
276,The Bandit,1996,Not Rated,128,"Crime, Drama, Thriller",8.1
277,Underground,1995,Not Rated,167,"Comedy, Drama, Fantasy",8.1
278,La haine,1995,Not Rated,98,"Crime, Drama",8.1
279,Before Sunrise,1995,R,101,"Drama, Romance",8.1
280,Three Colors: Red,1994,R,99,"Drama, Mystery, Romance",8.1
281,In the Name of the Father,1993,R,133,"Biography, Crime, Drama",8.1
282,Groundhog Day,1993,PG,101,"Comedy, Drama, Fantasy",8.1
283,Farewell My Concubine,1993,R,171,"Drama, Music, Romance",8.1
284,Raise the Red Lantern,1991,PG,125,"Drama, Romance",8.1
285,Time of the Gypsies,1988,R,142,"Comedy, Crime, Drama",8.1
286,Dead Poets Society,1989,PG,128,"Comedy, Drama",8.1
287,My Neighbor Totoro,1988,G,86,"Animation, Comedy, Family",8.1
288,Stand by Me,1986,R,89,"Adventure, Drama",8.1
289,Platoon,1986,R,120,"Drama, War",8.1
290,Jean de Florette,1986,PG,120,"Comedy, Drama",8.1
291,The Terminator,1984,R,107,"Action, Sci-Fi",8.1
292,"Paris, Texas",1984,R,145,Drama,8.1
293,Fanny and Alexander,1982,R,188,Drama,8.1
294,Blade Runner,1982,R,117,"Action, Drama, Sci-Fi",8.1
295,Stalker,1979,Not Rated,162,"Drama, Sci-Fi",8.1
296,Autumn Sonata,1978,PG,99,"Drama, Music",8.1
297,The Deer Hunter,1978,R,183,"Drama, War",8.1
298,Rocky,1976,PG,120,"Drama, Sport",8.1
299,Network,1976,R,121,Drama,8.1
300,The Message,1976,PG,177,"Biography, Drama, History",8.1
301,Sholay,1975,Not Rated,162,"Action, Adventure, Comedy",8.1
302,Jaws,1975,PG,124,"Adventure, Thriller",8.1
303,Barry Lyndon,1975,PG,185,"Adventure, Drama, War",8.1
304,A Woman Under the Influence,1974,R,155,"Drama, Romance",8.1
305,Paper Moon,1973,PG,102,"Comedy, Crime, Drama",8.1
306,The Exorcist,1973,R,122,Horror,8.1
307,Anand,1971,Not Rated,122,"Drama, Musical",8.1
308,Cool Hand Luke,1967,GP,127,"Crime, Drama",8.1
309,Persona,1966,Not Rated,83,"Drama, Thriller",8.1
310,Andrei Rublev,1966,R,205,"Biography, Drama, History",8.1
311,The Sound of Music,1965,G,172,"Biography, Drama, Family",8.1
312,The Battle of Algiers,1966,Not Rated,121,"Drama, War",8.1
313,The Man Who Shot Liberty Valance,1962,Approved,123,"Drama, Western",8.1
314,The Virgin Spring,1960,Not Rated,89,Drama,8.1
315,Inherit the Wind,1960,Passed,128,"Biography, Drama, History",8.1
316,The 400 Blows,1959,Not Rated,99,"Crime, Drama",8.1
317,Ben-Hur,1959,G,212,"Adventure, Drama",8.1
318,The Hidden Fortress,1958,Not Rated,126,"Action, Adventure, Drama",8.1
319,Wild Strawberries,1957,Not Rated,91,"Drama, Romance",8.1
320,The Seventh Seal,1957,Not Rated,96,"Drama, Fantasy",8.1
321,Nights of Cabiria,1957,Not Rated,110,Drama,8.1
322,Throne of Blood,1957,Not Rated,110,"Drama, History",8.1
323,Rififi,1955,Not Rated,118,"Crime, Drama, Thriller",8.1
324,On the Waterfront,1954,Approved,108,"Crime, Drama, Thriller",8.1
325,Diabolique,1955,Not Rated,117,"Crime, Drama, Horror",8.1
326,Ace in the Hole,1951,Approved,111,"Drama, Film-Noir",8.1
327,White Heat,1949,Not Rated,114,"Action, Crime, Drama",8.1
328,The Third Man,1949,Approved,93,"Film-Noir, Mystery, Thriller",8.1
329,The Red Shoes,1948,Not Rated,135,"Drama, Music, Romance",8.1
330,The Best Years of Our Lives,1946,Approved,170,"Drama, Romance, War",8.1
331,Rebecca,1940,Approved,130,"Drama, Film-Noir, Mystery",8.1
332,The Grapes of Wrath,1940,Passed,129,Drama,8.1
333,The Wizard of Oz,1939,PG,102,"Adventure, Family, Fantasy",8.1
334,Mr. Smith Goes to Washington,1939,Passed,129,"Comedy, Drama",8.1
335,The Grand Illusion,1937,Not Rated,113,"Drama, War",8.1
336,It Happened One Night,1934,Passed,105,"Comedy, Romance",8.1
337,All Quiet on the Western Front,1930,Passed,152,"Drama, War",8.1
338,The Circus,1928,Passed,72,"Comedy, Family, Romance",8.1
339,Sunrise,1927,Passed,94,"Drama, Romance",8.1
340,"Quo Vadis, Aida?",2020,,101,"Drama, History, War",8
341,Wolfwalkers,2020,PG,103,"Animation, Adventure, Family",8
342,The Invisible Guest,2016,TV-MA,106,"Crime, Drama, Mystery",8
343,La La Land,2016,PG-13,128,"Comedy, Drama, Music",8
344,Lion,2016,PG-13,118,"Biography, Drama",8
345,The Martian,2015,PG-13,144,"Adventure, Drama, Sci-Fi",8
346,Mommy,I 2014,R,139,Drama,8
347,Haider,2014,Not Rated,160,"Action, Crime, Drama",8
348,Soul,2020,PG,100,"Animation, Adventure, Comedy",8
349,Zootopia,2016,PG,108,"Animation, Adventure, Comedy",8
350,Baahubali: The Beginning,2015,Not Rated,159,"Action, Drama",8
351,The Tale of The Princess Kaguya,2013,PG,137,"Animation, Drama, Family",8
352,Special 26,2013,Not Rated,144,"Crime, Drama, Thriller",8
353,The Imitation Game,2014,PG-13,114,"Biography, Drama, Thriller",8
354,Guardians of the Galaxy,2014,PG-13,121,"Action, Adventure, Comedy",8
355,Song of the Sea,2014,PG,93,"Animation, Adventure, Drama",8
356,Blade Runner 2049,2017,R,164,"Action, Drama, Mystery",8
357,Her,2013,R,126,"Drama, Romance, Sci-Fi",8
358,The Revenant,2015,R,156,"Action, Adventure, Drama",8
359,Elite Squad 2: The Enemy Within,2010,Not Rated,115,"Action, Crime, Drama",8
360,The King's Speech,2010,R,118,"Biography, Drama, History",8
361,Deadpool,2016,R,108,"Action, Adventure, Comedy",8
362,Zack Snyder's Justice League,2021,R,242,"Action, Adventure, Fantasy",8
363,Ip Man,2008,R,106,"Action, Biography, Drama",8
364,The Breath,2009,,128,"Action, Drama, Thriller",8
365,Dune,2021,PG-13,155,"Action, Adventure, Drama",8
366,Departures,2008,PG-13,130,Drama,8
367,CODA,2021,PG-13,111,"Comedy, Drama, Music",8
368,Slumdog Millionaire,2008,R,120,"Crime, Drama, Romance",8
369,Black Swan,2010,R,108,"Drama, Thriller",8
370,Elite Squad,2007,R,115,"Action, Crime, Drama",8
371,The Avengers,2012,PG-13,143,"Action, Adventure, Sci-Fi",8
372,Persepolis,2007,PG-13,96,"Animation, Biography, Drama",8
373,"Carry On, Munna Bhai",2006,Not Rated,144,"Comedy, Drama, Romance",8
374,The Pursuit of Happyness,2006,PG-13,117,"Biography, Drama",8
375,Blood Diamond,2006,R,143,"Adventure, Drama, Thriller",8
376,The Bourne Ultimatum,2007,PG-13,115,"Action, Mystery, Thriller",8
377,Nobody Knows,2004,PG-13,141,Drama,8
378,Sin City,2005,R,124,"Crime, Thriller",8
379,The Diving Bell and the Butterfly,2007,PG-13,112,"Biography, Drama",8
380,Tae Guk Gi: The Brotherhood of War,2004,R,140,"Action, Drama, War",8
381,G.O.R.A.,2004,18,127,"Adventure, Comedy, Sci-Fi",8
382,Casino Royale,2006,PG-13,144,"Action, Adventure, Thriller",8
383,Kill Bill: Vol. 2,2004,R,137,"Action, Crime, Thriller",8
384,"Spring, Summer, Fall, Winter... and Spring",2003,R,103,"Drama, Romance",8
385,The Sea Inside,I 2004,PG-13,126,"Biography, Drama",8
386,Cinderella Man,2005,PG-13,144,"Biography, Drama, Romance",8
387,Infernal Affairs,2002,R,101,"Action, Crime, Drama",8
388,Big Fish,2003,PG-13,125,"Adventure, Drama, Fantasy",8
389,The Incredibles,2004,PG,115,"Animation, Action, Adventure",8
390,My Sassy Girl,2001,Not Rated,137,"Comedy, Drama, Romance",8
391,Dogville,2003,R,178,"Crime, Drama",8
392,Vizontele,2001,,110,"Comedy, Drama",8
393,Donnie Darko,2001,R,113,"Drama, Mystery, Sci-Fi",8
394,Magnolia,1999,R,188,Drama,8
395,Neon Genesis Evangelion: The End of Evangelion,1997,TV-MA,87,"Animation, Action, Drama",8
396,The Straight Story,1999,G,112,"Biography, Drama",8
397,Perfect Blue,1997,R,81,"Animation, Crime, Drama",8
398,Central Station,1998,R,110,Drama,8
399,The Legend of 1900,1998,R,169,"Drama, Music, Romance",8
400,"Black Cat, White Cat",1998,R,127,"Comedy, Crime, Romance",8
401,Sling Blade,1996,R,135,Drama,8
402,Secrets & Lies,1996,R,136,"Comedy, Drama",8
403,12 Monkeys,1995,R,129,"Mystery, Sci-Fi, Thriller",8
404,Dilwale Dulhania Le Jayenge,1995,Not Rated,181,"Drama, Romance",8
